order_id,sys_a_amount_attribute_1,date
62498162,1681.996,2024-06-30
64393313,593.996,2024-06-27
20834596,718.998,2024-06-29
63184454,798.998,2024-06-30
23884314,593.996,2024-06-27
74523787,424.001,2024-06-27
58721324,1196.004,2024-06-28
67810840,419.003,2024-06-27
25776703,599.004,2024-06-29
49279982,1599.002,2024-06-30
19704149,932.999,2024-06-27
26461535,512.001,2024-06-22
73717780,597.005,2024-06-27
60002527,1348.996,2024-06-26
81916405,899.002,2024-06-28
26268782,1649.0,2024-06-29
87547139,1358.995,2024-06-28
78034546,1329.004,2024-06-25
30407649,499.002,2024-06-28
34731860,538.997,2024-06-30
36528301,2099.004,2024-06-30
86799703,423.99,2024-06-29
98740916,953.999,2024-06-30
58514605,563.997,2024-06-28
78878693,1349.0,2024-06-28
63029375,599.004,2024-06-29
91092664,599.004,2024-06-28
19634218,798.997,2024-06-29
38381354,593.996,2024-06-27
46957658,999.002,2024-06-27
49606514,649.005,2024-06-28
87314691,607.005,2024-06-27
48695256,778.995,2024-06-27
74444931,798.998,2024-06-28
41733242,1709.006,2024-06-25
20851131,1189.004,2024-06-27
15690158,790.997,2024-06-26
79475756,949.001,2024-06-27
47149532,629.004,2024-06-27
71667346,699.004,2024-06-29
29811502,1274.0,2024-06-28
55564608,899.002,2024-06-27
69278974,1169.003,2024-06-30
96138691,488.996,2024-06-29
53582541,235.998,2024-06-28
28941726,663.998,2024-06-30
94629073,584.0,2024-06-27
46185520,558.999,2024-06-27
29701699,248.997,2024-06-29
77005971,1151.002,2024-06-28
99408390,638.999,2024-06-30
94051738,849.005,2024-06-30
54084179,1019.004,2024-06-30
38826532,599.004,2024-06-27
96678534,558.999,2024-06-27
89432984,798.998,2024-06-27
92433751,995.999,2024-06-30
51695373,1953.998,2024-06-27
67762885,198.996,2024-06-29
25647710,1614.004,2024-06-29
94017299,698.996,2024-06-28
18942410,314.003,2024-06-30
54503678,424.001,2024-06-28
62207594,999.002,2024-06-30
48922641,790.997,2024-06-30
36399441,1048.005,2024-06-27
11258907,999.002,2024-06-27
99937162,1214.002,2024-06-30
85680181,488.996,2024-06-26
21719779,748.997,2024-06-30
97423755,558.999,2024-06-29
29664276,1349.0,2024-06-29
20727105,455.0,2024-06-28
80788628,1032.002,2024-06-28
29058320,1949.002,2024-06-30
63923521,538.997,2024-06-30
45207227,340.998,2024-06-24
88062364,1274.0,2024-06-29
25269529,499.005,2024-06-27
15811457,424.001,2024-06-28
42287500,763.997,2024-06-29
97114425,778.995,2024-06-27
99269280,935.004,2024-06-30
71563212,998.996,2024-06-30
95068012,1424.002,2024-06-30
84414301,638.999,2024-06-27
36331284,331.002,2024-06-30
52567360,1185.995,2024-06-29
88174880,647.0,2024-06-29
14065170,302.999,2024-06-26
64346018,647.002,2024-06-30
44811358,598.999,2024-06-29
40748353,348.999,2024-06-28
15688758,999.002,2024-06-28
61902068,322.004,2024-06-27
61065545,479.0,2024-06-28
23234558,798.998,2024-06-28
80506914,1278.996,2024-06-28
82534302,599.004,2024-06-29
33013143,948.999,2024-06-29
59981243,798.998,2024-06-26
55344848,339.003,2024-06-27
25847048,381.003,2024-06-27
12067519,949.001,2024-06-30
32350970,599.004,2024-06-28
53608546,1698.996,2024-06-28
60301988,974.001,2024-06-30
40186138,1452.002,2024-06-27
62615875,698.996,2024-06-29
76780444,599.004,2024-06-30
14274919,530.996,2024-06-28
58690415,1953.998,2024-06-27
48368773,948.999,2024-06-28
84176879,448.997,2024-06-29
14631248,1998.999,2024-06-27
46911405,2748.996,2024-06-28
98755180,299.001,2024-06-30
89039366,1298.992,2024-06-28
97187627,2398.996,2024-06-30
97702176,998.996,2024-06-28
66312379,1299.0,2024-06-30
33443413,558.999,2024-06-28
66800006,638.999,2024-06-28
21873436,1399.004,2024-06-29
26110779,876.005,2024-06-29
50830121,399.0,2024-06-30
34927284,599.004,2024-06-29
60736532,638.999,2024-06-23
41057048,798.997,2024-06-27
91901312,908.996,2024-06-27
91312573,538.997,2024-06-28
41450251,849.005,2024-06-29
39431140,399.006,2024-06-27
66848684,599.004,2024-06-27
48472712,488.996,2024-06-26
18813134,473.996,2024-06-28
